order_id,customer_name,email,product_name,category,quantity,unit_price,amount,order_date,status
ORD00001,Allison Hill,donaldgarcia@example.net,Wait Pro,electronics,3,126.22,378.66,2026-06-30,pending
ORD00002,Amanda Davis,williamjohnson@example.org,Sense Pro,toys,4,20.73,82.92,2026-07-09,completed
ORD00003,Connie Lawrence,blakeerik@example.com,Grow Max,sports,5,212.66,,2026-06-06,refunded
ORD00004,Phillip Garcia,wdavis@example.net,Everything Max,sports,4,173.42,693.68,2026-07-23,pending
ORD00005,Kimberly Dudley,smiller@example.net,Present Plus,electronics,3,424.51,1273.53,2026-07-30,cancelled
ORD00006,Corey Jones,kendragalloway@example.org,Trial Plus,electronics,5,150.12,750.6,2026-05-21,cancelled
ORD00007,Mark Diaz,michael41@example.net,Prove Max,home,1,428.38,428.38,2026-05-27,completed
ORD00008,Carla Gray,gabriellecameron@example.org,Drop Max,home,3,108.71,326.13,2026-07-24,cancelled
ORD00009,Jennifer Jones,jason76@example.net,Low Max,toys,2,85.88,171.76,2026-05-24,refunded
ORD00010,Patrick Ryan,zhurst@example.com,Discuss Max,sports,3,422.21,1266.63,2026-08-09,completed
ORD00011,Johnny Campos,hernandezernest@example.net,Knowledge Lite,electronics,2,457.0,914.0,2026-07-04,cancelled
ORD00012,Kyle Mcdonald,tasha01@example.net,Value Plus,clothing,3,74.12,222.36,2026-06-29,cancelled
ORD00013,Martin Rodriguez,amoore@example.net,Type Lite,clothing,2,257.22,514.44,2026-07-15,completed
ORD00014,Pamela Romero,harrellkenneth@example.net,Movement Max,sports,4,300.22,1200.88,2026-07-05,refunded
ORD00015,Phillip Ryan,georgetracy@example.org,Woman,electronics,1,342.45,342.45,2026-06-13,cancelled
ORD00016,Dr. Cynthia Allen,millertodd@example.org,Soon Max,books,1,477.14,477.14,2026-06-28,cancelled
ORD00017,Matthew Arroyo,josephbrennan@example.com,Development Pro,sports,3,421.63,1264.89,2026-08-03,pending
ORD00018,Melissa Marquez,pcarney@example.com,Left,electronics,5,165.46,827.3,2026-07-31,completed
ORD00019,David Brown,chapmanjerry@example.org,Account Lite,clothing,1,124.23,124.23,2026-05-18,completed
ORD00020,Crystal Whitehead,chad34@example.net,Mention,clothing,2,331.58,663.16,2026-05-31,pending
ORD00021,Timothy Duncan,esanchez@example.com,Customer Max,toys,2,357.91,715.82,2026-05-20,refunded
ORD00022,Heather Jenkins,nuneztracey@example.org,Ask,books,1,127.71,127.71,2026-06-17,completed
ORD00023,Scott Wright,amandataylor@example.org,Family Max,electronics,1,355.38,355.38,2026-06-22,completed
ORD00024,Angela Morton,williamsyvette@example.org,Better Pro,toys,2,142.85,285.7,2026-08-03,refunded
ORD00025,Carol Tucker,michellebarrera@example.org,Hundred,toys,4,125.28,501.12,2026-05-12,refunded
ORD00026,Timothy Glover,rodney87@example.org,Customer Plus,home,4,208.5,834.0,2026-06-07,completed
ORD00027,Lauren Daniels,brian97@example.net,Wide Plus,sports,3,401.29,1203.87,2026-07-27,completed
ORD00028,Tyler Miller,caseyjones@example.org,International Plus,clothing,3,234.0,702.0,2026-05-22,completed
ORD00029,Danielle Wheeler,barnesbrandy@example.net,Four Pro,sports,5,418.83,2094.15,2026-08-04,completed
ORD00030,Mike Allen,panderson@example.com,Lot Plus,books,-1,433.0,866.0,2026-06-09,completed
ORD00031,Angel Ellis,jonesjason@example.com,Cause Plus,home,4,349.81,1399.24,2026-08-03,refunded
ORD00032,Sherry Wood,samueldaniels@example.com,Population,sports,5,35.17,175.85,2026-08-08,cancelled
ORD00033,Kendra Contreras,sarah12@example.com,Business,clothing,1,480.59,480.59,2026-07-31,completed
ORD00034,Brittney Campbell,jenniferharris@example.net,Tonight Max,books,1,471.09,471.09,2026-06-04,pending
ORD00035,Taylor Mathis Jr.,ccalderon@example.org,Goal,toys,5,161.6,808.0,2026-07-20,cancelled
ORD00036,Deborah Figueroa,,You Plus,clothing,3,231.33,693.99,2026-07-30,completed
ORD00037,Kimberly Davenport,russellwilliams@example.com,Way Pro,electronics,5,110.51,552.55,2026-08-03,cancelled
ORD00038,Amanda Howard,elizabethgomez@example.net,Usually Max,home,3,83.08,249.24,2026-07-29,cancelled
ORD00039,Nicole Frost,michellecherry@example.org,Upon Pro,sports,5,153.19,765.95,2026-06-18,completed
ORD00040,Tim Patton,vpham@example.org,Example Pro,sports,5,81.95,409.75,2026-05-26,cancelled
ORD00041,Janet Williams,dwalker@example.com,Focus Lite,toys,4,129.31,517.24,2026-07-24,completed
ORD00042,Courtney Keller,emurphy@example.com,Have Pro,home,2,320.37,640.74,2026-07-08,cancelled
ORD00043,William Herrera,wilsontara@example.org,Partner,electronics,1,42.25,42.25,2026-08-06,pending
ORD00044,Brian Hamilton,samuel81@example.com,We Max,books,2,25.71,51.42,2026-07-02,cancelled
ORD00045,Michael Smith,michaeljones@example.net,Wife Lite,clothing,2,335.13,670.26,2026-06-10,cancelled
ORD00046,Ryan Cortez,william65@example.com,Same,sports,2,463.25,926.5,2026-06-07,pending
ORD00047,Jason Bentley,christinaturner@example.net,These Plus,electronics,2,369.6,739.2,2026-05-12,cancelled
ORD00048,Jeffrey Carpenter,steven73@example.net,Material Max,home,2,394.75,789.5,2026-07-22,completed
ORD00049,Nancy Hopkins,zachary95@example.org,Tell Max,books,3,156.07,468.21,2026-08-05,pending
